,links
A Comparison of Strategies for Source-Free Domain Adaptation,https://openreview.net/forum?id=r0MNmnx4gHX
EncT5: Fine-tuning T5 Encoder for Discriminative Tasks,https://openreview.net/forum?id=T3Pzq_CLCdg
Reinforce Attack: Adversarial Attack against BERT with Reinforcement Learning,https://openreview.net/forum?id=TUsLgD-Ohfg
Tailor: Generating and Perturbing Text with Semantic Controls,https://openreview.net/forum?id=7ot_3041a6L
Multimodal Knowledge Learning for Named Entity Disambiguation,https://openreview.net/forum?id=-0pzbYBTRmt
VALSE: A Task-Independent Benchmark for Vision and Language Models centered on Linguistic Phenomena,https://openreview.net/forum?id=p-4qeZrTeCy
Adapting Multilingual Models for Code-Mixed Translation using Back-to-Back Translation,https://openreview.net/forum?id=QotBd0ZQuyg
Quantifying the Task-Specific Information in Text-Based Classifications,https://openreview.net/forum?id=EkXAZcDorIa
Reliability and Robustness of Transformers for Automated Short-Answer Grading,https://openreview.net/forum?id=FoSbfnso_hg
Deduplicating Training Data Makes Language Models Better,https://openreview.net/forum?id=DxJHPnz1L0l
QAConv: Question Answering on Informative Conversations,https://openreview.net/forum?id=ma2eK0he7JT
An Empirical Survey of Data Augmentation \\\\\\\\for Limited Data Learning in NLP,https://openreview.net/forum?id=n3MFoq1WOXU
Semantics-aware Attention Improves Neural Machine Translation,https://openreview.net/forum?id=9ACh_V2Gbop
BERT Learns to Teach: Knowledge Distillation with Meta Learning,https://openreview.net/forum?id=_giVW90_UAV
On the Diversity and Limits of Human Explanations,https://openreview.net/forum?id=-mQP6w_FGZJ
Automatic Multi-Label Prompting: Simple and Interpretable Few-Shot Classification,https://openreview.net/forum?id=D8DJN2-Zmkf
CTRLsum: Towards Generic Controllable Text Summarization,https://openreview.net/forum?id=OUPw2V0lX4_
A Latent-Variable Model for Intrinsic Probing,https://openreview.net/forum?id=eum8bkxrL_Z
An Investigation of the (In)effectiveness of Counterfactually Augmented Data,https://openreview.net/forum?id=DAiDafTZE7T
A Legal Approach to Hate Speech -- Operationalizing the EU\'s Legal Framework against the Expression of Hatred as an NLP Task,https://openreview.net/forum?id=AiZ4qG1SFy_
