,links
ALLWAS: Active Learning on Language models in WASserstein space,https://openreview.net/forum?id=8QPwf5LGpe
The Role of Context in Detecting Previously Fact-Checked Claims,https://openreview.net/forum?id=jMh_qPcoPH7
Rethinking Offensive Text Detection as a Multi-Hop Reasoning Problem,https://openreview.net/forum?id=CCAvbuPYKC
How to Do Human Evaluation: Best Practices for User Studies in NLP,https://openreview.net/forum?id=h08TpsSm0bI
A Vector-Based Approach to Few-Shot Veracity Classification for Automated Fact-Checking,https://openreview.net/forum?id=sTp10OxpdBI
AlephBERT: Pre-training and End-to-End Language Models Evaluation from Sub-Word to Sentence Level,https://openreview.net/forum?id=4IgzCL-ytZs
Synthetic Data Generation and Joint Learning for Robust Code-Mixed Translation,https://openreview.net/forum?id=iJvRzKAN2d
Using Language Models on Low-end Hardware,https://openreview.net/forum?id=U54Az93CWPW
A Survey on Geocoding: Algorithms and Datasets for Toponym Resolution,https://openreview.net/forum?id=-koTfmSDsM
EIDER: Evidence-enhanced Document-level Relation Extraction,https://openreview.net/forum?id=Z9arKXstUo5
