,Links
Predicting Visual Futures with Image Captioning and Pre-Trained Language Models,https://openreview.net/forum?id=awL4ru5Fkxq
The AI Doctor Is In: A Survey of Task-Oriented Dialogue Systems for Healthcare Applications,https://openreview.net/forum?id=byOHhLq9Qn
What is Missing in Existing Multi-hop Datasets? Toward Deeper Multi-hop Reasoning Task,https://openreview.net/forum?id=3sNJ3-U2Bhx
Topic-independent Detection of Dissonance in Short Stance Text,https://openreview.net/forum?id=x_9Efxb1Y8I
On Isotropy Calibration of Transformer Models,https://openreview.net/forum?id=UXPTve6W_sF
On Evaluation and Improvement of Tail Label Performance for Multi-label Text Classification,https://openreview.net/forum?id=UboX_l0hKrf
Augmented Neural Story Generation with Commonsense Inference,https://openreview.net/forum?id=Z7JH7C-oxlC
Continuation is a Sub-Task of Fill in the Blank: Why Not Train for Both?,https://openreview.net/forum?id=wX4qY_TXKp8
Active Evaluation: Efficient NLG Evaluation with Few Pairwise Comparisons,https://openreview.net/forum?id=lZF0Gyu1thp
Contrastive Learning of Natural Language and Code Representations for Semantic Code Search,https://openreview.net/forum?id=eiAkrltBTh4
So Different Yet So Alike! Constrained Unsupervised Text Style Transfer,https://openreview.net/forum?id=qzlQNmFSClj
Best Practices for Noise-Based Augmentation to Improve the Performance of Deployable Speech-Based Emotion Recognition Systems,https://openreview.net/forum?id=RtLKrXkNFmN
A Recipe For Arbitrary Text Style Transfer with Large Language Models,https://openreview.net/forum?id=tTwG1UKHRB1
Restoring Hebrew Diacritics Without a Dictionary,https://openreview.net/forum?id=gXOlHDiNcs2
