,Links
Privacy-Preserving Graph Convolutional Networks for Text Classification,https://openreview.net/forum?id=2ovjzITdRZ-
Does the Magic of BERT Apply to Medical Code Assignment? A Quantitative Study,https://openreview.net/forum?id=bWkmYjOBODG
Data and Parameter Scaling Laws for Neural Machine Translation,https://openreview.net/forum?id=IKA7MLxsLSu
A Study on Summarizing and Evaluating Long Documents,https://openreview.net/forum?id=kS4nxIn86Wa
Analysis and Prediction of NLP models via Task Embeddings,https://openreview.net/forum?id=ce79dztmV9p
An Ensemble approach to Cross-lingual Multilabel Toxicity Detection on Dutch Conversations,https://openreview.net/forum?id=G6j5axP6NPO
Opinion-based Relational Pivoting for Cross-domain Aspect Term Extraction,https://openreview.net/forum?id=38nXXqT4hC6
A Survey on Geocoding: Algorithms and Datasets for Toponym Resolution,https://openreview.net/forum?id=p_ibGwUc8_C
Relating Neural Text Degeneration to Exposure Bias,https://openreview.net/forum?id=OQ-j_frE5wV
BdLAN:BERTdoc Label Attention Networks for Multi-label text classification,https://openreview.net/forum?id=9Xd3VTHiCVQ
SINA-BERT: A Pre-Trained Language Model for Analysis of Medical Texts in Persian,https://openreview.net/forum?id=YSPukpxgWsU
FinQA: A Dataset of Numerical Reasoning over Financial Data,https://openreview.net/forum?id=PnXrhi0bgE9
How to Query Language Models?,https://openreview.net/forum?id=JZy4chxCF7X
Contrastive Conditioning for Assessing Disambiguation in MT: A Case Study of Distilled Bias,https://openreview.net/forum?id=RvO9DqoWI9V
A Legal Approach to Hate Speech \\u2013 Operationalizing the EU\\u2019s Legal Framework against the Expression of Hatred as an NLP Task,https://openreview.net/forum?id=44kC8ypzww8
Detecting Adversarial Text Attacks via SHapley Additive exPlanations,https://openreview.net/forum?id=DZ_7nGQgZgk
Coming to its senses: Lessons learned from Approximating Retrofitted BERT representations for Word Sense information,https://openreview.net/forum?id=bpv9ChT17yZ
Breaking Down Multilingual Machine Translation,https://openreview.net/forum?id=Atus2kay0Q3
Legal Fairness Analysis via Treatment Effect Estimation,https://openreview.net/forum?id=krpuPk6VSD9
"Update Frequently, Update Fast: Retraining Semantic Parsing Systems in a Fraction of Time",https://openreview.net/forum?id=bGjFXO6osc4
Is Knowledge Embedding Fully Exploited in Language Understanding? An Empirical Study,https://openreview.net/forum?id=Dsu_0yOU_ZT
Explaining by Analogy: Case-based Abductive Natural Language Inference,https://openreview.net/forum?id=IVAyYuh1oQo
Causal Augmentation for Causal Sentence Classification,https://openreview.net/forum?id=q985hMM6EvA
Faithful and Plausible Explanations of Medical Code Predictions,https://openreview.net/forum?id=eDEf_5g5127
UniK-QA: Unified Representations of Structured and Unstructured Knowledge for Open-Domain Question Answering,https://openreview.net/forum?id=iWmyxJ-RBh-
"LiSTra, Automatic Speech Translation: English to Lingala case study",https://openreview.net/forum?id=z9XMLIOPkf8
Subtopic Clustering with a Query-Specific Siamese Similarity Metric,https://openreview.net/forum?id=hXNpGFWuoqX
Fine-Tuned Transformers Show Clusters of Similar Representations Across Layers,https://openreview.net/forum?id=SrIhEzbuxYk
Neural Predictive Text for Grammatical Error Prevention,https://openreview.net/forum?id=dP0ZC3Q1a28
GeDi: Generative Discriminator Guided Decoding for Faster Controllable Sequence Generation,https://openreview.net/forum?id=3E3F51B8azH
QUASER: Question Answering with Scalable Extractive Rationalization,https://openreview.net/forum?id=BhMiwEP5ZM7
Multilingual Domain Adaptation for NMT: Decoupling Language and Domain Information with Adapters,https://openreview.net/forum?id=reKuXSjsaNc
A Statistical Typology of (Textual) Language in Finer Granularity,https://openreview.net/forum?id=yySHIamiadH
