,Links
Few-Shot Named Entity Recognition with Biaffine Span Representation,https://openreview.net/forum?id=5aeBigqvO-P
SegMix: A Simple Structure-Aware Data Augmentation Method,https://openreview.net/forum?id=EI9qCtD7u54
Tell me who you are and i\'ll tell you what to do: A Persona Grounded Task Oriented Dialogue Generation System,https://openreview.net/forum?id=cbJwLMMduMs
Counting What Deserves to be Counted for Graph Parsing,https://openreview.net/forum?id=X0EjCsA_c8l
Real-Time Visual Feedback to Guide Benchmark Creation: A Human-and-Metric-in-the-Loop Workflow,https://openreview.net/forum?id=ydSsRlGlDfD
Revisiting Transformer-based Models for Long Document Classification,https://openreview.net/forum?id=qPUpmrqK2K8
Exploring Human-judged and Automatically-induced Correction Difficulty for Grammatical Error Correction,https://openreview.net/forum?id=jO0vmMUrlMB
Speech Synthesis for Low Resource Languages using Transliteration  Enabled Transfer Learning,https://openreview.net/forum?id=-GpDH3hu9m6
HonestBait: Headline Generation via Faithful Forward Reference,https://openreview.net/forum?id=xfBbBwOkwgQ
Contextualized Semantic Distance via Pre-trained Language Model,https://openreview.net/forum?id=KkrkpXyyDky
KALA: Knowledge-Augmented Language Model Adaptation,https://openreview.net/forum?id=qTNMTzkWhgT
TREND: Trigger-Enhanced Relation-Extraction Network for Dialogues,https://openreview.net/forum?id=Wl3XjEMGPsy
Multimodal Semi-supervised Learning for Disaster Tweet Classification,https://openreview.net/forum?id=Udw4IUCPew6
Retrieval-based Layer-wise Adaptive Transformer for Source Code Summarization,https://openreview.net/forum?id=zikTfLBMXAg
Sequence-to-sequence AMR Parsing with Ancestor Information,https://openreview.net/forum?id=WkqKzBx2UZO
DoTAT: A Domain-oriented Text Annotation Tool,https://openreview.net/forum?id=fEiC5ODIGk8
Compressing Sentence Representation via Homomorphic Projective Distillation,https://openreview.net/forum?id=n3cvM4Phez9
Plug-Tagger: A Pluggable Sequence Labeling Framework with Pre-trained Language Models,https://openreview.net/forum?id=LVKqHo_PPs
A Probabilistic Framework for Analyzing Moral Perspectives in the COVID-19 Vaccine Debate,https://openreview.net/forum?id=klQP_rP-QoC
Improving Aspect Extraction based on Rules through Deep Syntax-Semantics Communication,https://openreview.net/forum?id=20Lgo1A-aSh
On the interpretability and significance of bias metrics in texts: a PMI-based approach,https://openreview.net/forum?id=f7ia5zVf06N
A Deep Generative XAI Framework for Natural Language Inference Explanations Generation,https://openreview.net/forum?id=kFPmMu_2fVA
Meta-Adapter: Parameter Efficient Few-Shot Learning through Meta-Learning,https://openreview.net/forum?id=bQt8dWKsfso
An Exploration of Prompt-Based Zero-Shot Relation Extraction Method,https://openreview.net/forum?id=2eFOOv7ufn
Efficient Hyper-parameter Search for Knowledge Graph Embedding,https://openreview.net/forum?id=cwPFJBwI0hG
Mitigating Gender Bias in Machine Translation through Adversarial Learning,https://openreview.net/forum?id=nZdr6_UDzW
A Structure-Aware Argument Encoder for Literature Discourse Analysis,https://openreview.net/forum?id=ds---HqfFWz
Placing (Historical) Events on a Timeline: A Classification cum Co-ref Resolution Approach,https://openreview.net/forum?id=zMLzqW4AC20
Modeling Hierarchical Syntax Structure with Triplet Position for Source Code Summarization,https://openreview.net/forum?id=w8g-gf1wjjl
KNN-BERT: Fine-Tuning Pre-Trained Models with KNN Classifier,https://openreview.net/forum?id=BecjRxs-lY5
More Than Just Attention: Improving Cross-Modal Attentions with Contrastive Constraints for Image-Text Matching,https://openreview.net/forum?id=wqzdShr8Tie
Discriminative Models Still Outperform Generative Models in Aspect Based Sentiment Analysis In Cross-Domain and Cross-Lingual Settings,https://openreview.net/forum?id=BB1pmTFXqOS
Negative-aware Entity Set Expansion,https://openreview.net/forum?id=Vw2vryLjiiC
Mix and Match: Learning-free Controllable Text Generationusing Energy Language Models,https://openreview.net/forum?id=CzENLR_1iTF
Improving Abstractive Dialogue Summarization with Speaker-Aware Supervised Contrastive Learning,https://openreview.net/forum?id=LhoivcdFKwD
Lifting the Curse of Multilinguality by Pre-training Modular Transformers,https://openreview.net/forum?id=47v7cxS_5cE
Transductive Learning for Abstractive News Summarization,https://openreview.net/forum?id=2GFWBz-q4-Y
Composable Sparse Fine-Tuning for Cross-Lingual Transfer,https://openreview.net/forum?id=JCipWpsW6R
How Do Seq2Seq Models Perform on End-to-End Data-to-Text Generation?,https://openreview.net/forum?id=kq1EhM0vMM6
The Power of Prompt Tuning for Low-Resource Semantic Parsing,https://openreview.net/forum?id=jxj0WRxKSix
Exploring and Adapting Chinese GPT to  Pinyin Input Method,https://openreview.net/forum?id=M2lVno3swO7
Empirical Evaluation of Topic Zero- and Few-Shot Learning for Stance Dissonance Detection,https://openreview.net/forum?id=C9p4LKExawN
Multilingual pre-training with Language and Task Adaptation for Multilingual Text Style Transfer,https://openreview.net/forum?id=rWPLdCIiY6g
