,links
Towards Better Characterization of Paraphrases,https://openreview.net/forum?id=t2UJIFZVyz4
Multi-Narrative Semantic Intersection Task: Evaluation and Benchmark,https://openreview.net/forum?id=mdSv9jxpdBX
Constructing Multilingual CCG Treebanks from Universal Dependencies,https://openreview.net/forum?id=Ulgk67AQfeW
Multilingual Generative Language Models for Zero-Shot Cross-Lingual Event Argument Extraction,https://openreview.net/forum?id=PK84NwrD_9q
Denoising Large-Scale Image Captioning from Alt-text Data using Content Selection Models,https://openreview.net/forum?id=BkNdZ6HoX6s
"Relevance in Dialogue: An empirical comparison of existing metrics, and a novel simple metric",https://openreview.net/forum?id=aOl-UPZeSwt
Attention Mechanism with Energy-Friendly Operations,https://openreview.net/forum?id=vsUr1EnqSGT
Tag and Not Rewrite: A Probabilistic Model to Unpaired Sentiment and Style Transfer,https://openreview.net/forum?id=Dk8w2SYFoaS
Widely Interpretable Semantic Representation: Frameless Meaning Representation for Broader Applicability,https://openreview.net/forum?id=lZTBTihUdlc
Top-Down Influence? Predicting CEO Personality and Risk Impact from Speech Transcripts,https://openreview.net/forum?id=h45YPjctju9
Hierarchical Recurrent Aggregative Generation for Few-Shot NLG,https://openreview.net/forum?id=eqRNs_CGR50
SeaD: End-to-end Text-to-SQL Generation with Schema-aware Denoising,https://openreview.net/forum?id=Dgx157I8729
Knowledgeable Prompt-tuning: Incorporating Knowledge into Prompt Verbalizer for Text Classification,https://openreview.net/forum?id=qmpCC1qsJF_
Headed-Span-Based Projective Dependency Parsing,https://openreview.net/forum?id=6HUkK1levbi
The Past Mistake is the Future Wisdom: Error-driven Contrastive Probability Optimization for Chinese Spell Checking,https://openreview.net/forum?id=cEA-p49sP8x
Synthetic Data Generation and Joint Learning for Robust Code-Mixed Translation,https://openreview.net/forum?id=cqlqdyDfypP
Combining (Second-Order) Graph-Based and Headed-Span-Based Projective Dependency Parsing,https://openreview.net/forum?id=4mMBs-hCrKx
Hansel: A Chinese Few-Shot and Zero-Shot Entity Linking Benchmark,https://openreview.net/forum?id=kLXFm320Xit
"\\""Is Whole Word Masking Always Better for Chinese BERT?\\"": Probing on Chinese Grammatical Error Correction",https://openreview.net/forum?id=owR_gqXt47k
Improving Generalizability in Implicitly Abusive Language Detection with Concept Activation Vectors,https://openreview.net/forum?id=eRRLIv7DrOX
Digging Errors in NMT: Evaluating and Understanding Model Errors from Hypothesis Distribution,https://openreview.net/forum?id=Yw1AfyQrmUp
Sparse Fuzzy Attention for Structured Sentiment Analysis,https://openreview.net/forum?id=lJrJAPEZ4M0
GradMask: Gradient-Guided Token Masking for Textual Adversarial Example Detection,https://openreview.net/forum?id=fImoryxnH0Z
DiS-ReX: A Multilingual Dataset for Distantly Supervised Relation Extraction,https://openreview.net/forum?id=oIfSEEw8Xfu
Measuring Fairness of Text Classifiers via Prediction Sensitivity,https://openreview.net/forum?id=uOklQslIXe8
Defending Textual Neural Networks against Black-Box Adversarial Attacks with Stochastic Multi-Expert Patcher,https://openreview.net/forum?id=F3lYBj1dpXX
Does BERT really agree ? Fine-grained Analysis of Lexical Dependence on a Syntactic Task,https://openreview.net/forum?id=0I_MQWeF5pE
Commonsense Knowledge-Augmented Pretrained Language Models for Causal Reasoning Classification,https://openreview.net/forum?id=51c-7iGxPri
Gender Roles from Word Embeddings in a Century of Children\\u2019s Books,https://openreview.net/forum?id=1y_41pnSIxC
A Meta-framework for Spatiotemporal Quantity Extraction from Text,https://openreview.net/forum?id=32tW2OOxJ5D
Supervised Relation Classification as Two-way Span-Prediction,https://openreview.net/forum?id=Drjb0jGXtGe
Modeling Future for Neural Machine Translation by Fusing Target Information,https://openreview.net/forum?id=OmJpjgRuSeI
Investigating Logic Tensor Networks for Neural-Symbolic Argument Mining,https://openreview.net/forum?id=41SZu4IPi6N
Making Transformers Solve Compositional Tasks,https://openreview.net/forum?id=5S-L8drL0h7
What Makes Reading Comprehension Questions Difficult? Investigating Variation in Passage Sources and Question Types,https://openreview.net/forum?id=kJob69ydIj-
Improving Abstractive Dialogue Summarization with Speaker-Aware Supervised Contrastive Learning,https://openreview.net/forum?id=DQkcgrmTmbo
Measuring Factual Consistency of Abstractive Summaries,https://openreview.net/forum?id=dTnMpK6jHiv
We need to talk about random seeds,https://openreview.net/forum?id=Z0lw-ozMSEe
AOG-LSTM: A Novel RNN Structure for Visual Storytelling,https://openreview.net/forum?id=aN3joeJh1LD
Exploring the Effectiveness of Student Behavior in Prerequisite Relation Discovery for Concepts,https://openreview.net/forum?id=1eix5Aen_54
Comprehension of Subtitles from Re-Translating Simultaneous Speech Translation,https://openreview.net/forum?id=wWAtD2N68cW
Remixers: A Mixer-Transformer Architecture with Compositional Operators for Natural Language Understanding,https://openreview.net/forum?id=9FHQHJnRtfL
CoDA21: Evaluating Language Understanding Capabilities of NLP Models With Context-Definition Alignment,https://openreview.net/forum?id=OQBNP-eWeIO
Multimodal Audio-textual Architecture for Robust Spoken Language Understanding,https://openreview.net/forum?id=baHiTdWOUgo
RelO: An Overlapping Relation Extraction Dataset and Model,https://openreview.net/forum?id=3rxgHBM48gw
BART-light: One Decoder Layer Is Enough,https://openreview.net/forum?id=9kEcqAD-V5u
FlipDA: Effective and Robust Data Augmentation for Few-Shot Learning,https://openreview.net/forum?id=NFladHWUfRc
