,title,authorids,authors,TL;DR,abstract,pdf,software,preprint,consent,paperhash,existing_preprints,reviewer/Editor_reassignment_request,reviewer/Editor_reassignment_justification,previous_URL,previous_PDF,response_PDF,data
t2UJIFZVyz4,Towards Better Characterization of Paraphrases,['aclweb.org/ACL/ARR/2021/September/Paper86/Authors'],['Anonymous'],,"To effectively characterize the nature of paraphrase pairs without expert human annotation, we proposes two new metrics: word position deviation (WPD) and lexical deviation (LD). WPD measures the degree of structural alteration, while LD measures the difference in vocabulary used. We apply these metrics to better understand the commonly-used MRPC dataset and study how it differs from PAWS, another paraphrase identification dataset. We also perform a detailed study on MRPC and propose improvements to the dataset, showing that it improves generalizability of models trained on the dataset. Lastly, we apply our metrics to filter the output of a paraphrase generation model and show how it can be used to generate specific forms of paraphrases for data augmentation or robustness testing of NLP models. ",/pdf/462b2617f79caae0c0755f85283fad2b74ec1980.pdf,/attachment/db1fe0a0f5be272a2b132148e407f37c9a9b7fbc.zip,,,anonymous|towards_better_characterization_of_paraphrases,,,,,,,
mdSv9jxpdBX,Multi-Narrative Semantic Intersection Task: Evaluation and Benchmark,['aclweb.org/ACL/ARR/2021/September/Paper252/Authors'],['Anonymous'],,"In this paper, we introduce an important yet relatively unexplored NLP task called Multi-Narrative Semantic Intersection (MNSI), which entails generating a Semantic Intersection of multiple alternate narratives. As no benchmark dataset is readily available for this task, we created one by crawling 2,925 alternative narrative pairs from the web and then, went through the tedious process of manually creating 411 different ground-truth semantic intersections by engaging human annotators. As a way to evaluate this novel task, we first conducted a systematic study by borrowing the popular ROUGE metric from text summarization literature and discovered that ROUGE is not suitable for our task. Subsequently, we conducted further human annotations/validations to create 200 document-level and 1,518 sentence-level ground-truth labels which helped us formulate a new precision-recall style evaluation metric, called SEM F1 (semantic F1), based on presence, partial presence and absence of information. Experimental results show that the proposed SEM F1 metric yields higher correlation with human judgement as well as higher inter-rater agreement compared to ROUGE metric and thus, we recommend the community to use this metric for evaluating future research on this topic.",/pdf/8778ba6223706a995a0075fc28eecec630fd285d.pdf,,,,anonymous|multinarrative_semantic_intersection_task_evaluation_and_benchmark,,,,https://openreview.net/forum?id=bQ8F-y8spuo#all,/attachment/d9496aae9d8a834cebc2fe51edf2ba0b3071748d.pdf,/attachment/494b309ae71185e5c8b585182049eca40c5fd040.pdf,/attachment/ff2793c3b336e8b47b23ed6b35c0c60d719cb909.zip
Ulgk67AQfeW,Constructing Multilingual CCG Treebanks from Universal Dependencies,['aclweb.org/ACL/ARR/2021/September/Paper253/Authors'],['Anonymous'],,"This paper introduces an algorithm to convert Universal Dependencies (UD) treebanks to Combinatory Categorial Grammar (CCG) treebanks. As CCG encodes almost all grammatical information into the lexicon, obtaining a high quality CCG derivation from a dependency tree is a challenging task. Our algorithm contains four main steps: binarization of dependency trees, functor/argument identification, category assignment through hand-crafted rules, and category inference for unassigned constituents. To evaluate our converted treebanks, we perform lexical, sentential, and syntactic rule coverage analysis, as well as CCG parsing experiments. We achieve over 80% conversion rate on 68 treebanks of 44 languages, and over 90% lexical coverage on 81 treebanks of 52 languages. ",/pdf/19dda116c8ab59fb162fe44ebfc00b777a5fa729.pdf,/attachment/d1ce7e24797521d5a5a7041e94be9167fc7195ca.zip,,,anonymous|constructing_multilingual_ccg_treebanks_from_universal_dependencies,,,,,,,
PK84NwrD_9q,Multilingual Generative Language Models for Zero-Shot Cross-Lingual Event Argument Extraction,['aclweb.org/ACL/ARR/2021/September/Paper183/Authors'],['Anonymous'],,"We present a pioneering study on leveraging multilingual pre-trained generative language models for zero-shot cross-lingual event argument extraction (EAE) by formulating EAE as a language generation task. Compared to previous classification-based EAE models that build classifiers on top of pre-trained masked language models, our generative model effectively encodes the event structures and better captures the dependencies between arguments. To achieve cross-lingual transfer, we design language-agnostic templates to encode argument roles and train our models on source languages to ""generate"" arguments in the source languages to fill in the language-agnostic template. The trained model can then be directly applied to target languages to ""generate"" arguments in the target languages to fill in the template. Our experimental results demonstrate that the proposed model outperforms the current state-of-the-art results on zero-shot cross-lingual EAE. Comprehensive ablation study and error analysis are presented to better understand the advantages and the current limitations of using multilingual generative language models for cross-lingual transfer.
",/pdf/bea51275514072e6786af3f496802885775ab171.pdf,,,,anonymous|multilingual_generative_language_models_for_zeroshot_crosslingual_event_argument_extraction,,,,,,,
BkNdZ6HoX6s,Denoising Large-Scale Image Captioning from Alt-text Data using Content Selection Models,['aclweb.org/ACL/ARR/2021/September/Paper148/Authors'],['Anonymous'],,"Training large-scale image captioning (IC) models demands access to a rich and diverse set of training examples that are expensive to curate both in terms of time and man-power. Instead, alt-text based captions gathered from the web is a far cheaper alternative to scale with the downside of being noisy. Recent modeling approaches to IC often fall short in terms of performance in leveraging these noisy datasets in favor of clean annotations. We address this problem by breaking down the task into two simpler, more controllable tasks -- skeleton prediction and skeleton-based caption generation. Specifically, we show that sub-selecting content words as skeletons helps in generating improved and denoised captions when leveraging rich yet noisy alt-text--based uncurated datasets. We also show that the predicted English skeletons can further cross-lingually be leveraged to generate non-English captions, and present experimental results covering caption generation in French, Italian, German, Spanish and Hindi. We also show that skeleton-based prediction allows for better control of certain caption properties, such as length, content, and gender expression, providing a handle to perform human-in-the-loop interpretable semi-automatic corrections.",/pdf/268f9545563e300957975901bf5588a5f07fae31.pdf,,,,anonymous|denoising_largescale_image_captioning_from_alttext_data_using_content_selection_models,,,,,,,
aOl-UPZeSwt,"Relevance in Dialogue: An empirical comparison of existing metrics, and a novel simple metric",['aclweb.org/ACL/ARR/2021/September/Paper29/Authors'],['Anonymous'],,"In this work, we evaluate various existing dialogue relevance metrics, find strong dependencies on the dataset, often with poor correlation with human scores of relevance, and propose modifications to reduce data requirements while improving correlation. With these changes, our metric achieves a new state-of-the-art on the HUMOD dataset (Merdivan et al., 2020). We achieve this without fine-tuning, using only 3750 unannotated human dialogues and a single negative example. Despite these limitations, we demonstrate competitive performance on three datasets from different domains. Our code including our metric and data processing is open sourced.",/pdf/06dee7a8cbdefab2dc3bb3359ff4d7660ae30edc.pdf,/attachment/810cb348f84e67eb9406c817c17a303e8eea6cc8.zip,,,anonymous|relevance_in_dialogue_an_empirical_comparison_of_existing_metrics_and_a_novel_simple_metric,,,,,,,
vsUr1EnqSGT,Attention Mechanism with Energy-Friendly Operations,['aclweb.org/ACL/ARR/2021/September/Paper305/Authors'],['Anonymous'],,"Attention mechanism has become the dominant module in natural language processing models. It is computationally intensive and depends on massive power-hungry multiplications. In this paper, we rethink variants of attention mechanism from the energy consumption aspects. After reaching the conclusion that the energy costs of several energy-friendly operations are far less than their multiplication counterparts, we build a novel attention model by completely replacing multiplications with either selective operations or additions. Empirical results on three machine translation tasks demonstrate that the proposed method, against the vanilla one, achieves comparable accuracy while only consumes a half of energy. Our code will be released upon the acceptance.",/pdf/4dc8e2bac2024e390d61b39cbbbc6ec1acf9536f.pdf,,,,anonymous|attention_mechanism_with_energyfriendly_operations,,,,,,,
Dk8w2SYFoaS,,,,,,,,,,,,,,,,,
lZTBTihUdlc,Widely Interpretable Semantic Representation: Frameless Meaning Representation for Broader Applicability,['aclweb.org/ACL/ARR/2021/September/Paper19/Authors'],['Anonymous'],,"This paper presents a semantic representation called WISeR that overcomes challenges for Abstract Meaning Representation (AMR). Despite its richness and exapandability, AMR is not easily applied to languages or domains without predefined semantic frames, and its use of numbered arguments results in semantic role labels which are not directly interpretable and are semantically overloaded for parsers. We examine the numbered arguments of predicates in AMR and convert them to thematic roles which do not require reference to semantic frames. We create a new corpus of 1K dialogue sentences annotated in both WISeR and AMR. WISeR shows stronger inter-annotator agreement for beginner and experienced annotators, with beginners becoming proficient in WISeR annotation sooner. Finally, we train two state-of-the-art parsers on the AMR 3.0 corpus and a WISeR corpus converted from AMR 3.0. The parsers are evaluated on these corpora and our dialogue corpus. WISeR models exhibit higher accuracy than their AMR counterparts across the board, demonstrating that WISeR is easier for parsers to learn.",/pdf/8e0ca799a73ed4fae18cd75d4f2e7898fd42c943.pdf,,,,anonymous|widely_interpretable_semantic_representation_frameless_meaning_representation_for_broader_applicability,,,,,,,/attachment/fcb7f1d81b69bca1f480272237f104f2c80ecff4.zip
h45YPjctju9,Top-Down Influence? Predicting CEO Personality and Risk Impact from Speech Transcripts,['aclweb.org/ACL/ARR/2021/September/Paper296/Authors'],['Anonymous'],,"How much does a CEO’s personality influence the performance of their company? Past literature has contested the possibility of predicting the Myers–Briggs Type Indicator (MBTI) from purely textual data. However, we use Transformers to create the first supervised model to regress the MBTI personality of CEOs. We show that moderate to strong predictions can be obtained for three out of four MBTI dimensions. Finally, providing empirical evidence for the upper echelons theory, we demonstrate that the predicted CEO personalities have explanatory power of financial risk.",/pdf/0a30162870fd61ad45107023bbb6e709ae2cbeb8.pdf,/attachment/b487ff01485a44cb0ecd2828a7bc8dd7e6e20290.zip,,,anonymous|topdown_influence_predicting_ceo_personality_and_risk_impact_from_speech_transcripts,,,,,,,/attachment/a9e3aece328159bf4ead441652a3061be49802d2.zip
